4567890 Kashan, Ahmed 0.010000 1
5000001 Lee, Lucy Marie 3.400000 35
4300123 Trapp, Amanda Elizabeth 4.000000 10
4000324 Trapp, Dave 3.900000 60
4200357 Brown, Joanne 4.000000 75
1500151 Marcus, John 4.000000 5
3900025 Brown, Joanne 3.500000 20
1900800 Walljasper, Bryan 3.900000 90
3500524 Marcus, John 3.200000 75
5112345 South, Frankie 2.600000 42
3562140 Jon, Dozer 3.200000 80
2100875 Andrews, Dennis 2.900000 40
2010489 Brown, Joanne 4.000000 45
1100694 Marcus, John 3.800000 90
2800590 Brown, Joanne 2.600000 60
5090085 Lee, Victor 2.800000 90
1200786 White, D. Robert 3.500000 15
3300456 Lee, Victor 3.600000 30
